Airline,Flight Number,Departure City,Departure Time,Arrival City,Arrival Time,Duration,Stops,Fare Type,Fare Price,Cancellation Policy,Date Change Policy,Seat Selection,Checked Baggage,Hand Baggage,Meal,Scraped At
Air India,IX-9575/AI-2814,Hyderabad(HYD),10:50,New Delhi(DEL),00:55,14h 05m,Not Available,Value,22083,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",15 Kgs,7 Kg,Complimentary,2025-11-26 16:15:10.794996
Air India,IX-9575/AI-2814,Hyderabad(HYD),10:50,New Delhi(DEL),00:55,14h 05m,Not Available,Classic,23138,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",20 Kgs,7 Kg,Complimentary,2025-11-26 16:15:10.859937
Air India,IX-9575/AI-2814,Hyderabad(HYD),10:50,New Delhi(DEL),00:55,14h 05m,Not Available,Flex,25238,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",25 Kgs,7 Kg,Complimentary,2025-11-26 16:15:10.924983
Air India,IX-9575/AI-2814,Hyderabad(HYD),10:50,New Delhi(DEL),00:55,14h 05m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:15:10.937169
Air India,IX-9573/AI-2665,Hyderabad(HYD),06:20,New Delhi(DEL),22:30,16h 10m,Not Available,Value,22717,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",15 Kgs,7 Kg,Complimentary,2025-11-26 16:15:12.239247
Air India,IX-9573/AI-2665,Hyderabad(HYD),06:20,New Delhi(DEL),22:30,16h 10m,Not Available,Classic,23768,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",20 Kgs,7 Kg,Complimentary,2025-11-26 16:15:12.336706
Air India,IX-9573/AI-2665,Hyderabad(HYD),06:20,New Delhi(DEL),22:30,16h 10m,Not Available,Flex,25860,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",25 Kgs,7 Kg,Complimentary,2025-11-26 16:15:12.407720
Air India,IX-9573/AI-2665,Hyderabad(HYD),06:20,New Delhi(DEL),22:30,16h 10m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:15:12.420850
IndiGo,6E-6167/6E-6489,Hyderabad(HYD),19:20,New Delhi(DEL),00:55,5h 35m,Not Available,Saver Fare,22850,Yes,Yes,"Standard: Chargeable
XL seats: Chargeable",15 Kgs,7 Kgs,Chargeable,2025-11-26 16:15:13.630065
IndiGo,6E-6167/6E-6489,Hyderabad(HYD),19:20,New Delhi(DEL),00:55,5h 35m,Not Available,Flexi Plus,23658,Yes,Yes,"Standard: FREE
XL seats: Chargeable",15 Kgs,7 Kgs,Complimentary,2025-11-26 16:15:13.695343
